2000300	大火炎壺
2000301	
2000302	
2000303	
2000304	
2000305	
2000306	
2000307	
2000308	
2000309	
2000310	大岩石壺
2000311	
2000312	
2000313	
2000314	
2000315	
2000316	
2000317	
2000318	
2000319	
2000320	大雷壺
2000321	
2000322	
2000323	
2000324	
2000325	
2000326	
2000327	
2000328	
2000329	
2000330	大糞壺
2000331	
2000332	
2000333	
2000334	
2000335	
2000336	
2000337	
2000338	
2000339	
2000340	大蠅壺
2000360	大氷結壺
2000361	
2000362	
2000363	
2000364	
2000365	
2000366	
2000367	
2000368	
2000369	
2000370	大毒壺
2000371	
2000372	
2000373	
2000374	
2000375	
2000376	
2000377	
2000378	
2000379	
2000380	大油壷
2000600	大火山壺
2000620	大狂い火壺
2000650	大怨霊壺
2000651	
2000652	
2000653	
2000654	
2000655	
2000656	
2000657	
2000658	
2000659	
2000660	大魔力壺
2000661	
2000662	
2000663	
2000664	
2000665	
2000666	
2000667	
2000668	
2000669	
2000670	大腐敗壺
2000671	
2000672	
2000673	
2000674	
2000675	
2000676	
2000677	
2000678	
2000679	
2000680	大焼炉壺
2000681	
2000682	
2000683	
2000684	
2000685	
2000686	
2000687	
2000688	
2000689	
2000690	大赤雷壺
2000691	
2000692	
2000693	
2000694	
2000695	
2000696	
2000697	
2000698	
2000699	
2000700	赤雷壺
2000701	
2000702	
2000703	
2000704	
2000705	
2000706	
2000707	
2000708	
2000709	
2000710	狂い火壺
2000740	永眠壺
2000760	紐付き狂い火壺
2000800	スピリット・レーズン
2000900	マリカの祝福
2000901	
2000902	
2000903	
2000904	
2000905	
2000906	
2000907	
2000908	
2000909	
2000910	微睡の枝
2001100	竜餐の肉塊
2001101	
2001102	
2001103	
2001104	
2001105	逆鱗の肉塊
2001106	
2001107	
2001108	
2001109	
2001110	指紋の秘薬
2001111	
2001112	
2001113	
2001114	
2001115	
2001116	
2001117	
2001118	
2001119	
2001120	抗魔の肝漬け
2001121	
2001122	
2001123	
2001124	
2001125	
2001126	
2001127	
2001128	
2001129	
2001130	抗炎の肝漬け
2001131	
2001132	
2001133	
2001134	
2001135	
2001136	
2001137	
2001138	
2001139	
2001140	抗雷の肝漬け
2001141	
2001142	
2001143	
2001144	
2001145	
2001146	
2001147	
2001148	
2001149	
2001150	抗聖の肝漬け
2001151	
2001152	
2001153	
2001154	
2001155	
2001156	
2001157	
2001158	
2001159	
2001160	真珠色の肝漬け
2001161	
2001162	
2001163	
2001164	
2001165	
2001166	
2001167	
2001168	
2001169	
2001170	亀首の古漬け
2001200	サソリ煮込み
2001201	贅沢なサソリ煮込み
2001202	サソリ煮込み
2001203	贅沢なサソリ煮込み
2001204	
2001205	
2001206	
2001207	
2001208	
2001209	
2001210	聖なる血肉
2001211	
2001212	
2001213	
2001214	
2001215	
2001216	
2001217	
2001218	
2001219	
2001220	白銀の角貨
2001221	
2001222	
2001223	
2001224	
2001225	
2001226	
2001227	
2001228	
2001229	
2001230	黄金の角貨
2001400	メスメルの火脂
2001401	
2001402	
2001403	
2001404	
2001405	
2001406	
2001407	
2001408	
2001409	
2001410	竜雷脂
2001411	
2001412	
2001413	
2001414	
2001415	
2001416	
2001417	
2001418	
2001419	
2001420	王家の魔力脂
2001421	
2001422	
2001423	
2001424	
2001425	
2001426	
2001427	
2001428	
2001429	
2001430	黄金脂
2001450	永眠脂
2001480	竜餐脂
2001500	紐付きメスメルの火脂
2001501	
2001502	
2001503	
2001504	
2001505	
2001506	
2001507	
2001508	
2001509	
2001510	紐付き竜雷脂
2001511	
2001512	
2001513	
2001514	
2001515	
2001516	
2001517	
2001518	
2001519	
2001520	紐付き王家の魔力脂
2001521	
2001522	
2001523	
2001524	
2001525	
2001526	
2001527	
2001528	
2001529	
2001530	紐付き黄金脂
2001550	紐付き永眠脂
2001600	祝祭脂
2001700	中身肉
2001701	
2001702	
2001703	
2001704	
2001705	
2001706	
2001707	
2001708	
2001709	
2001710	竜餐の銛
2002000	人鳴り石
2002001	
2002002	
2002003	
2002004	
2002005	
2002006	
2002007	
2002008	
2002009	
2002010	岩の心臓
2002011	
2002012	
2002013	
2002014	
2002015	
2002016	
2002017	
2002018	
2002019	
2002020	巫女の心臓
2002021	
2002022	
2002023	
2002024	
2002025	
2002026	
2002027	
2002028	
2002029	
2002030	嘆き人の仮面
2002100	古竜の恩寵
2002120	祝福の瞳膜
2002121	
2002122	
2002123	
2002124	
2002125	
2002126	
2002127	
2002128	
2002129	
2002130	暗闇の瞳膜
2002131	
2002132	
2002133	
2002134	
2002135	
2002136	
2002137	
2002138	
2002139	
2002140	ティエリエの秘薬
2002141	
2002142	
2002143	
2002144	
2002145	
2002146	
2002147	
2002148	
2002149	
2002150	呼び声頭「嘆き」
2002900	猪乗りの追憶
2002901	串刺し公の追憶
2002902	影輪草の追憶
2002903	双月の騎士の追憶
2002904	蕾の聖女の追憶
2002905	獅子舞の追憶
2002906	
2002907	神と王の追憶
2002908	狂い火の王の追憶
2002909	指の母の追憶
2002910	泥濘の追憶
2002950	レダのルーン
2002951	壊れたルーン
2002952	影の地のルーン【１】
2002953	影の地のルーン【２】
2002954	影の地のルーン【３】
2002955	影の地のルーン【４】
2002956	影の地のルーン【５】
2002957	影の地のルーン【６】
2002958	影の地のルーン【７】
2002959	謳われぬ英雄のルーン
2002960	マリカのルーン
2003000	絆の石
2003001	精霊石
2003130	角水子
2003131	
2003132	
2003133	
2003134	
2003135	
2003136	
2003137	
2003138	
2003139	
2003140	ラーナの香油瓶
2003141	
2003142	
2003143	
2003144	
2003145	
2003146	
2003147	
2003148	
2003149	
2003150	ティビアの呼び声
2003151	
2003152	
2003153	
2003154	
2003155	
2003156	
2003157	
2003158	
2003159	
2003160	迸る狂い火
2003161	
2003162	
2003163	
2003164	
2003165	
2003166	
2003167	
2003168	
2003169	
2003170	黄金樹に誓って
2003171	
2003172	
2003173	
2003174	
2003175	
2003176	
2003177	
2003178	
2003179	
2003180	火の蜷局
2003181	
2003182	
2003183	
2003184	
2003185	
2003186	
2003187	
2003188	
2003189	
2003190	火霊石
2003191	
2003192	
2003193	
2003194	
2003195	
2003196	
2003197	
2003198	
2003199	
2003200	輝く爪
2003310	陽だまり石
2003350	魅了の枝
2004300	ミリアムの消失
2004301	
2004302	
2004303	
2004304	
2004305	
2004306	
2004307	
2004308	
2004309	
2004310	魔術の三輝剣
2004311	
2004312	
2004313	
2004314	
2004315	
2004316	
2004317	
2004318	
2004319	
2004320	レラーナの双月
2004500	輝石の爪
2004501	
2004502	
2004503	
2004504	
2004505	
2004506	
2004507	
2004508	
2004509	
2004510	輝石の多爪
2004700	岩の刃
2004701	
2004702	
2004703	
2004704	
2004705	
2004706	
2004707	
2004708	
2004709	
2004710	引力弾
2004900	刺纏い
2004901	
2004902	
2004903	
2004904	
2004905	
2004906	
2004907	
2004908	
2004909	
2004910	拒絶の刺
2005000	霊光輪
2006200	泥濘の渦
2006201	
2006202	
2006203	
2006204	
2006205	
2006206	
2006207	
2006208	
2006209	
2006210	泥濘の塊
2006300	アンスバッハの狂刃
2006400	彼方からの回復
2006650	坩堝の諸相・針
2006651	
2006652	
2006653	
2006654	
2006655	
2006656	
2006657	
2006658	
2006659	
2006660	坩堝の諸相・花
2006661	
2006662	
2006663	
2006664	
2006665	
2006666	
2006667	
2006668	
2006669	
2006670	小黄金樹
2006671	
2006672	
2006673	
2006674	
2006675	
2006676	
2006677	
2006678	
2006679	
2006680	影の地
2006681	
2006682	
2006683	
2006684	
2006685	
2006686	
2006687	
2006688	
2006689	
2006690	彼方からの怒り
2006691	
2006692	
2006693	
2006694	
2006695	
2006696	
2006697	
2006698	
2006699	
2006700	ミケラの光
2006701	
2006702	
2006703	
2006704	
2006705	
2006706	
2006707	
2006708	
2006709	
2006710	重なり合う光輪
2006800	ルガリアの咆哮
2006900	騎士の雷槍
2006901	
2006902	
2006903	
2006904	
2006905	
2006906	
2006907	
2006908	
2006909	
2006910	フローサクスの竜雷
2006911	
2006912	
2006913	
2006914	
2006915	
2006916	
2006917	
2006918	
2006919	
2006920	帯電
2007000	ベールの暴虐
2007001	
2007002	
2007003	
2007004	
2007005	
2007006	
2007007	
2007008	
2007009	
2007010	ベールの炎雷
2007011	
2007012	
2007013	
2007014	
2007015	
2007016	
2007017	
2007018	
2007019	
2007020	霊炎ブレス
2007200	腐敗の蝶
2007201	
2007202	
2007203	
2007204	
2007205	
2007206	
2007207	
2007208	
2007209	
2007210	蟲糸の槍
2007300	ミドラーの狂い火
2007410	儚い小宇宙
2007411	
2007412	
2007413	
2007414	
2007415	
2007416	
2007417	
2007418	
2007419	
2007420	守り指
2007600	守護霊
2007700	黄金の弧
2007701	
2007702	
2007703	
2007704	
2007705	
2007706	
2007707	
2007708	
2007709	
2007710	黄金の大弧
2007711	
2007712	
2007713	
2007714	
2007715	
2007716	
2007717	
2007718	
2007719	
2007720	スピラ
2007721	
2007722	
2007723	
